Match No,Court No,Date,Time,Team Code A,Team Code B,Phase,Category,Group,Change Side,Match Description,Event Type,No of Set,No of Points
MQ16,1,17/11/17,21:00:00,INA,CHN,PRELIMINARY,MEN,A,2,,QUAD,3,21
MQ 10,2,14/3/18,15:00:00,SGP,IND,PRELIMINARY,MEN,B,2,ROUND ROBIN,QUAD,1,21
MQ12,1,14/3/18,17:00:00,INA,IRN,PRELIMINARY,MEN,A,2,,QUAD,3,21
MQ 13,1,14/3/18,19:30:00,INA,SGP,QUARTER FINAL,MEN,A,2,KNOCK OUT,QUAD,3,21
WQ10,2,28/3/18,22:00:00,MAS,INA,PRELIMINARY,WOMEN,A,2,WOMEN ROUND ROBIN,QUAD,3,21
MQ22,1,8/4/18,14:30:00,SGP,CHN,QUARTER FINAL,MEN,,2,,QUAD,3,21
MQ23,3,8/4/18,17:00:00,CHN,INA,SEMI FINAL,MEN,,2,MEN QUAD,QUAD,3,21
MQ18,2,8/4/18,19:50:00,INA,CHN,PRELIMINARY,MEN,A,2,ROUND ROBIN,QUAD,3,21
MT01,1,13/4/18,12:00:00,CHN,JPN,PRELIMINARY,MEN,C,2,HOME,TEAM REGU,3,21
MT02,2,13/4/18,12:30:00,INA,SGP,PRELIMINARY,MEN,D,2,HOME,TEAM REGU,3,21
MT 03,3,13/4/18,13:00:00,JPN,CHN,PRELIMINARY,MEN,C,2,AWAY,TEAM REGU,3,21
MR 99,1,25/4/18,14:15:00,JPN,INA,PRELIMINARY,MEN,A,2,TEST,REGU,3,21
MT 04,1,25/5/18,15:00:00,SGP,INA,PRELIMINARY,MEN,D,2,AWAY,TEAM REGU,3,21
MR22,1,30/5/18,17:00:00,JPN,INA,PRELIMINARY,MEN,A,2,TEST,REGU,3,21
MR23,2,30/5/18,17:00:00,SGP,JPN,QUARTER FINAL,MEN,A,2,FROM CSV,REGU,3,21
