Type,Role,Name,NOC,Passport,NRIC,DateOfBirth(dd-mm-yyyy),e-mail,mobileno
TECHNICAL,CHAIRMAN JURY,"DATO ABDUL HALIM BIN KADER, BBM",SGP, , , , , 
TECHNICAL, JURY,DR. ACHMAD SOFYAN HANIF ,INA, , , , , 
TECHNICAL, JURY,DR. CHALERM CHAIWATCHARAPORN,THA, , , , , 
TECHNICAL, JURY,SRIRE RAJESHWAR RAO PREMRAJ,IND, , , , , 
TECHNICAL, JURY,GUM YEON GOO,KOR, , , , , 
TECHNICAL,TECHNICAL OFFICIAL,ABDUL SARIP BIN NAHARAWI,SGP, , , , , 
TECHNICAL,TECHNICAL OFFICIAL,AMIRAH BINTE MOHAMAD ISMAIL,SGP, , , , , 
TECHNICAL,TECHNICAL OFFICIAL,ROHAIZAN BIN SARIP,SGP, , , , , 
TECHNICAL,TECHNICAL OFFICIAL,ALI FOULADI RAD,IRN, , , , , 
TECHNICAL,TECHNICAL OFFICIAL,MOHAMED YUSOFF BIN ISMAIL SALLEH,SGP, , , , , 
TECHNICAL,TECHNICAL OFFICIAL,LETCHMENON S/O MARIAPPAN,SGP, , , , , 
TECHNICAL,TECHNICAL OFFICIAL,DHURBA BAHADUR GURUNG,NEP, , , , , 
TECHNICAL,ASTAF REFEREE,SHAMSUL KAHAR BIN LOB,SGP, , , , , 
TECHNICAL,ASTAF REFEREE,TENGKU SHAHRIR TENGKU DAHLAN,MAS, , , , , 
TECHNICAL,ASTAF REFEREE,JOLLY J. LABOY ,PHI, , , , , 
TECHNICAL,ASTAF REFEREE,SOLOMON B. PADIZ,PHI, , , , , 
TECHNICAL,ASTAF REFEREE,ABDUL GHANI ZAINUN,MAS, , , , , 
TECHNICAL,ASTAF REFEREE,NOUSHAD AHMED KHAN,PAK, , , , , 
TECHNICAL,ASTAF REFEREE,FADZIL BIN HASHIM,MAS, , , , , 
TECHNICAL,ASTAF REFEREE,AHMAD RASHIDI BIN ABDUL RASHID,MAS, , , , , 
TECHNICAL,ASTAF REFEREE,GHAZALI BIN MARALI,MAS, , , , , 
TECHNICAL,ASTAF REFEREE,MEHDI MANZARI,IRN, , , , , 
TECHNICAL,ASTAF REFEREE,YALDA GHASEMI,IRN, , , , , 
TECHNICAL,ASTAF REFEREE,MASARU MISAWA,JPN, , , , , 
TECHNICAL,ASTAF REFEREE,ERWIN PELAYO,PHI, , , , , 
TECHNICAL,ASTAF REFEREE,ROY FABAY,PHI, , , , , 
TECHNICAL,ASTAF REFEREE,SARDARILAL SHARMA,IND, , , , , 
TECHNICAL,ASTAF REFEREE,BALAMURUGAM DHARMALINGAM,IND, , , , , 
TECHNICAL,ASTAF REFEREE,RENFENG,CHN, , , , , 
TECHNICAL,ASTAF REFEREE,THEIN THIKE,MYA, , , , , 
TECHNICAL,ASTAF REFEREE,ZAINAL BIN MOHAMAD,SGP, , , , , 
TECHNICAL,ASTAF REFEREE,HARON BIN KOSNAN,SGP, , , , , 
TECHNICAL,ASTAF REFEREE,KHAIRE BIN SANI,SGP, , , , , 
TECHNICAL,ASTAF REFEREE,LEE YOUNGIK,KOR, , , , , 
TECHNICAL,ASTAF REFEREE,CHAKKAPAN NAKPRADIS,THA, , , , , 
TECHNICAL,ASTAF REFEREE,UTHORN PATIKO,THA, , , , , 
TECHNICAL,ASTAF REFEREE,PUENE INTHANOR,LAO, , , , , 
TECHNICAL,ASTAF REFEREE,RAM BAHADUR THAPA CHHETRI,NEP, , , , , 
TECHNICAL,ASTAF REFEREE,HUYNH TRUC PHUONG,VIE, , , , , 
TECHNICAL,ASTAF REFEREE,PHAM KIEN CUONG,THA, , , , , 
NON-TECHNICAL,OTHERS,SIRAVIT HARUEANKAEW,THA, , , , , 
NON-TECHNICAL,OTHERS,SUMITRA DEEWONG,THA, , , , , 
NON-TECHNICAL,OTHERS,SAKORN SUKPUANG,THA, , , , , 
NON-TECHNICAL,OTHERS,PRAMUAL NGUANBOONMAK,THA, , , , , 
NON-TECHNICAL,OTHERS,PANCHAMAPORN CHAITANG,THA, , , , , 
NON-TECHNICAL,OTHERS,SUVISA ATOYRAM,THA, , , , , 
NON-TECHNICAL,OTHERS,CHEONG CHUNG CHIN,SGP, , , , , 
NON-TECHNICAL,OTHERS,SANCHEZ GARY,PHI, , , , , 
NON-TECHNICAL,OTHERS,ZUNIGA DENNIS,PHI, , , , , 
